trimestre;local;raca;ocupados_k;informais_k;formais_k;taxa_informalidade
1º tri/2023;Brasil;Branco;42541,1;14289,5;28251,6;33,6
1º tri/2023;Brasil;Demais Raças;42418,1;18613,0;23805,1;43,9
1º tri/2023;Brasil;Preto;11001,6;4549,1;6452,5;41,3
1º tri/2023;Rio Grande do Norte;Branco;437,5;173,4;264,2;39,6
1º tri/2023;Rio Grande do Norte;Demais Raças;669,6;335,7;333,9;50,1
1º tri/2023;Rio Grande do Norte;Preto;131,3;61,4;70,0;46,7
2º tri/2023;Brasil;Branco;43086,6;14517,9;28568,7;33,7
2º tri/2023;Brasil;Demais Raças;42947,7;18955,6;23992,1;44,1
2º tri/2023;Brasil;Preto;10992,9;4573,0;6419,9;41,6
2º tri/2023;Rio Grande do Norte;Branco;464,4;181,7;282,7;39,1
2º tri/2023;Rio Grande do Norte;Demais Raças;676,8;323,5;353,3;47,8
2º tri/2023;Rio Grande do Norte;Preto;124,0;55,3;68,7;44,6
3º tri/2023;Brasil;Branco;43382,4;14557,1;28825,3;33,6
3º tri/2023;Brasil;Demais Raças;43545,5;19201,7;24343,8;44,1
3º tri/2023;Brasil;Preto;10999,9;4574,1;6425,8;41,6
3º tri/2023;Rio Grande do Norte;Branco;470,7;190,6;280,1;40,5
3º tri/2023;Rio Grande do Norte;Demais Raças;685,8;328,0;357,8;47,8
3º tri/2023;Rio Grande do Norte;Preto;126,3;51,5;74,7;40,8
4º tri/2023;Brasil;Branco;43486,3;14659,8;28826,5;33,7
4º tri/2023;Brasil;Demais Raças;44165,8;19357,0;24808,8;43,8
4º tri/2023;Brasil;Preto;11395,7;4802,7;6593,0;42,1
4º tri/2023;Rio Grande do Norte;Branco;488,2;186,6;301,6;38,2
4º tri/2023;Rio Grande do Norte;Demais Raças;688,4;313,3;375,1;45,5
4º tri/2023;Rio Grande do Norte;Preto;137,9;56,8;81,1;41,2
1º tri/2024;Brasil;Branco;43209,7;14568,1;28641,6;33,7
1º tri/2024;Brasil;Demais Raças;43814,4;19041,3;24773,1;43,5
1º tri/2024;Brasil;Preto;11258,1;4628,1;6630,0;41,1
1º tri/2024;Rio Grande do Norte;Branco;487,5;180,1;307,5;36,9
1º tri/2024;Rio Grande do Norte;Demais Raças;682,2;305,1;377,0;44,7
1º tri/2024;Rio Grande do Norte;Preto;143,5;71,8;71,6;50,1
2º tri/2024;Brasil;Branco;43591,7;14546,8;29044,9;33,4
2º tri/2024;Brasil;Demais Raças;44936,7;19345,4;25591,3;43,1
2º tri/2024;Brasil;Preto;11344,1;4722,0;6622,2;41,6
2º tri/2024;Rio Grande do Norte;Branco;509,4;195,6;313,8;38,4
2º tri/2024;Rio Grande do Norte;Demais Raças;717,0;310,2;406,9;43,3
2º tri/2024;Rio Grande do Norte;Preto;143,1;64,0;79,1;44,7
3º tri/2024;Brasil;Branco;43782,2;14685,5;29096,6;33,5
3º tri/2024;Brasil;Demais Raças;45547,7;19641,3;25906,4;43,1
3º tri/2024;Brasil;Preto;11713,6;4908,2;6805,5;41,9
3º tri/2024;Rio Grande do Norte;Branco;492,7;194,1;298,7;39,4
3º tri/2024;Rio Grande do Norte;Demais Raças;733,9;315,0;418,9;42,9
3º tri/2024;Rio Grande do Norte;Preto;155,8;70,7;85,2;45,3
4º tri/2024;Brasil;Branco;44064,2;14406,8;29657,4;32,7
4º tri/2024;Brasil;Demais Raças;45902,5;19929,3;25973,3;43,4
4º tri/2024;Brasil;Preto;11856,4;4965,8;6890,6;41,9
4º tri/2024;Rio Grande do Norte;Branco;474,2;186,8;287,4;39,4
4º tri/2024;Rio Grande do Norte;Demais Raças;759,9;334,1;425,8;44,0
4º tri/2024;Rio Grande do Norte;Preto;154,8;69,6;85,2;45,0
1º tri/2025;Brasil;Branco;43532,9;14055,6;29477,3;32,3
1º tri/2025;Brasil;Demais Raças;45340,2;19407,3;25932,9;42,8
1º tri/2025;Brasil;Preto;11632,1;4722,7;6909,4;40,6
1º tri/2025;Rio Grande do Norte;Branco;463,1;185,3;277,8;40,0
1º tri/2025;Rio Grande do Norte;Demais Raças;761,3;323,4;437,9;42,5
1º tri/2025;Rio Grande do Norte;Preto;147,7;64,8;82,9;43,9
